cgpa,aptitude_score,communication_skills,num_projects,internships,technical_skills,certifications,dsa_level,attendance,placement_score,placed
8.0,69,4,7,3,1,5,10,91.3,66.02,1
7.36,70,7,3,3,6,1,3,60.0,48.0,0
8.15,77,8,8,0,8,1,5,74.1,54.1,1
9.02,50,9,6,4,8,7,10,94.0,99.3,1
7.27,74,6,1,1,13,4,5,89.7,43.06,0
7.27,47,6,3,0,13,6,9,82.4,61.9,1
9.08,42,8,4,1,8,6,10,59.9,61.82,1
8.27,53,5,2,0,11,7,4,77.4,36.03,0
7.03,99,3,8,4,6,6,1,70.9,58.7,1
8.04,52,3,4,0,11,5,10,82.0,53.13,0
7.04,84,6,1,1,3,4,5,68.3,33.38,0
7.03,71,2,10,3,1,7,1,65.7,35.25,0
7.74,73,6,2,1,2,0,6,53.2,36.58,0
5.59,84,6,8,2,5,3,10,92.7,66.02,1
5.78,100,8,6,2,13,3,10,73.2,73.23,1
6.94,58,7,1,2,10,7,7,79.9,55.29,1
6.49,98,8,8,2,5,7,1,78.0,60.38,1
7.81,77,9,3,4,10,0,10,65.2,71.7,1
6.59,55,6,8,3,14,6,4,62.9,50.64,0
6.09,41,3,1,3,1,3,9,65.9,22.98,0
8.97,79,10,9,1,1,5,1,69.3,59.89,1
7.27,56,3,3,0,15,7,9,82.4,53.19,0
7.57,94,1,4,1,9,4,8,68.5,57.38,1
6.08,73,5,1,1,2,3,5,99.0,36.83,0
6.96,81,4,9,1,7,5,6,90.3,61.48,1
7.61,99,9,0,1,10,4,7,87.7,61.22,1
6.35,55,9,6,3,4,7,4,76.6,46.04,0
7.88,77,5,9,0,7,5,6,96.2,63.54,1
6.9,99,10,0,1,8,0,7,75.4,55.04,1
7.21,41,4,10,3,5,7,6,77.6,44.04,0
6.9,41,7,10,1,13,1,6,80.0,49.2,0
9.35,65,6,7,2,12,0,2,86.4,56.2,1
7.49,52,4,2,1,12,3,5,85.6,43.11,0
6.44,95,10,9,1,1,4,3,72.3,48.94,0
8.32,86,2,5,4,4,5,7,71.6,63.52,1
6.28,70,1,6,2,10,3,4,85.7,39.17,0
7.71,99,4,9,0,3,3,1,86.6,44.7,0
5.54,73,4,0,1,10,7,6,73.3,33.04,0
6.17,78,1,5,0,15,1,6,59.0,31.43,0
7.7,42,6,6,2,12,6,7,75.5,55.1,1
8.24,47,4,5,1,5,3,8,85.5,52.13,0
7.67,62,1,3,4,10,1,3,99.7,48.92,0
7.38,53,1,0,3,13,4,6,63.6,37.24,0
7.2,95,1,10,4,10,4,10,72.9,84.96,1
6.02,94,8,8,4,13,5,2,73.3,64.87,1
6.78,66,10,3,3,6,6,9,94.3,77.87,1
7.04,93,8,6,3,2,1,2,77.6,46.78,0
8.56,68,2,6,3,7,0,3,67.1,34.31,0
7.84,78,7,1,1,13,4,10,84.7,68.25,1
5.74,92,8,0,0,3,7,2,73.1,33.53,0
7.82,78,8,7,0,15,6,9,63.3,73.59,1
7.11,40,10,7,3,1,5,1,67.3,42.11,0
6.82,56,7,6,4,10,0,5,98.8,57.28,1
8.11,80,5,7,2,3,4,1,82.6,47.05,0
8.53,69,1,2,3,9,4,5,79.3,49.45,0
8.43,92,9,10,4,10,5,8,75.0,98.92,1
6.66,52,7,1,4,11,5,8,81.5,60.47,1
7.19,60,2,6,1,11,2,8,81.4,52.07,0
7.83,58,6,7,1,15,7,2,81.5,57.43,1
8.48,92,2,0,0,6,3,8,79.4,44.06,0
7.02,58,1,9,0,11,3,5,88.4,35.97,0
7.31,96,7,8,2,6,0,1,78.3,48.75,0
6.39,64,2,10,2,4,3,7,66.3,26.03,0
6.3,61,2,3,2,15,0,6,70.7,34.39,0
8.31,70,5,3,2,8,6,5,54.3,53.71,0
8.86,56,5,2,4,5,4,1,100.0,55.39,1
7.43,94,7,5,4,7,2,1,88.4,56.73,1
8.5,62,1,0,0,9,2,6,68.0,35.82,0
7.86,71,8,5,1,13,7,10,74.6,62.34,1
6.85,49,3,1,1,13,7,7,70.4,43.0,0
7.86,49,4,8,3,14,4,10,96.5,64.65,1
9.04,75,9,1,4,5,5,10,61.0,69.65,1
7.46,47,4,6,2,11,7,1,79.4,45.77,0
9.06,93,10,0,2,14,7,9,76.7,92.71,1
4.88,91,5,6,3,5,1,4,87.9,43.26,0
8.32,59,7,4,1,14,1,5,76.8,54.97,1
7.59,71,4,7,2,4,3,2,56.9,41.59,0
7.2,89,1,3,1,6,5,10,75.0,46.81,0
7.59,53,9,9,3,2,0,8,66.3,57.25,1
5.51,89,4,6,1,3,6,2,79.0,37.91,0
7.28,67,9,5,1,1,2,3,95.2,35.97,0
7.86,85,6,4,1,2,3,9,57.1,57.26,1
8.98,91,1,3,2,2,7,2,68.4,44.87,0
6.98,92,3,6,0,8,4,6,71.4,52.36,0
6.69,63,2,4,4,8,5,4,73.4,51.87,0
7.0,54,9,4,1,2,7,7,86.9,42.99,0
8.42,61,1,0,1,13,2,6,75.9,37.65,0
7.83,69,9,1,1,14,0,10,83.0,57.37,1
6.97,43,9,4,0,6,0,9,70.5,31.82,0
8.01,52,8,2,3,15,1,9,80.8,60.34,1
7.6,98,8,1,2,5,3,10,87.3,80.6,1
8.47,62,1,3,0,3,7,4,69.2,39.77,0
6.8,47,8,3,1,5,4,1,87.4,45.21,0
7.17,57,10,3,0,5,2,2,78.6,41.06,0
